user_id,Name,Age,Interests,Activity Logs
u1,Utilisateur 1,-5.0,"['ai', 'technology', 'business']",['listened to rock']
u2,Utilisateur 2,33.0,"['science', 'technology']",['completed workout']
u3,Utilisateur 3,42.0,['business'],"['listened to rock', 'watched ai talk', 'completed workout']"
u4,Utilisateur 4,53.0,['technology'],['watched ai talk']
u5,Utilisateur 5,-5.0,"['ai', 'technology']","['listened to rock', 'bought headphones', 'completed workout']"
u6,Utilisateur 6,32.0,"['health', 'science', 'fitness']",['completed workout']
u7,Utilisateur 7,53.0,"['technology', 'business', 'ai']",['watched ai talk']
u8,Utilisateur 8,44.0,['fitness'],"['watched ai talk', 'bought headphones', 'bought headphones']"
u9,Utilisateur 9,29.0,"['science', 'health']","['completed workout', 'watched ai talk']"
u10,Utilisateur 10,41.0,"['music', 'science', 'health']","['bought headphones', 'listened to rock', 'bought headphones']"
u11,Utilisateur 11,29.0,"['business', 'fitness', 'technology']","['listened to rock', 'watched ai talk', 'watched ai talk']"
u12,Utilisateur 12,,"['health', 'ai', 'business']",['bought headphones']
u13,Utilisateur 13,37.0,"['business', 'fitness', 'music']","['listened to rock', 'listened to rock']"
u14,Utilisateur 14,-5.0,"['science', 'fitness', 'music']",['listened to rock']
u15,Utilisateur 15,14.0,"['science', 'technology', 'ai']","['watched ai talk', 'bought headphones']"
u16,Utilisateur 16,28.0,"['technology', 'music']","['completed workout', 'bought headphones', 'bought headphones']"
u17,Utilisateur 17,,"['music', 'technology', 'fitness']","['watched ai talk', 'listened to rock', 'bought headphones']"
u18,Utilisateur 18,38.0,"['ai', 'business']","['listened to rock', 'bought headphones']"
u19,Utilisateur 19,24.0,"['music', 'technology']","['listened to rock', 'listened to rock']"
u20,Utilisateur 20,18.0,"['health', 'fitness', 'business']",['bought headphones']
u21,Utilisateur 21,52.0,"['health', 'fitness']","['completed workout', 'watched ai talk']"
u22,Utilisateur 22,-5.0,"['technology', 'fitness', 'music']","['listened to rock', 'bought headphones', 'watched ai talk']"
u23,Utilisateur 23,35.0,['science'],"['watched ai talk', 'completed workout', 'listened to rock']"
u24,Utilisateur 24,17.0,"['fitness', 'ai', 'business']","['listened to rock', 'bought headphones']"
u25,Utilisateur 25,28.0,"['business', 'fitness', 'music']","['watched ai talk', 'completed workout']"
u26,Utilisateur 26,36.0,['business'],['listened to rock']
u27,Utilisateur 27,21.0,['health'],['listened to rock']
u28,Utilisateur 28,39.0,"['business', 'music', 'health']","['watched ai talk', 'listened to rock']"
u29,Utilisateur 29,27.0,['technology'],"['bought headphones', 'listened to rock']"
u30,Utilisateur 30,,['ai'],"['completed workout', 'completed workout']"
u31,Utilisateur 31,27.0,['technology'],"['bought headphones', 'watched ai talk', 'bought headphones']"
u32,Utilisateur 32,57.0,"['ai', 'science']","['listened to rock', 'completed workout', 'completed workout']"
u33,Utilisateur 33,34.0,"['science', 'technology', 'ai']","['completed workout', 'listened to rock']"
u34,Utilisateur 34,22.0,"['science', 'fitness']","['completed workout', 'watched ai talk']"
u35,Utilisateur 35,44.0,['health'],['listened to rock']
u36,Utilisateur 36,,"['fitness', 'music', 'business']",['listened to rock']
u37,Utilisateur 37,37.0,"['science', 'technology', 'music']","['bought headphones', 'watched ai talk']"
u38,Utilisateur 38,11.0,"['health', 'music']","['listened to rock', 'completed workout', 'watched ai talk']"
u39,Utilisateur 39,19.0,['ai'],"['listened to rock', 'listened to rock', 'watched ai talk']"
u40,Utilisateur 40,37.0,['technology'],['bought headphones']
u41,Utilisateur 41,43.0,"['health', 'ai', 'business']","['watched ai talk', 'bought headphones', 'watched ai talk']"
u42,Utilisateur 42,37.0,"['health', 'science', 'music']",['completed workout']
u43,Utilisateur 43,33.0,"['science', 'music', 'ai']","['bought headphones', 'listened to rock', 'bought headphones']"
u44,Utilisateur 44,31.0,"['ai', 'technology', 'music']","['completed workout', 'listened to rock']"
u45,Utilisateur 45,,['ai'],"['completed workout', 'listened to rock', 'watched ai talk']"
u46,Utilisateur 46,-5.0,"['ai', 'technology', 'science']","['watched ai talk', 'watched ai talk', 'completed workout']"
u47,Utilisateur 47,29.0,"['ai', 'technology', 'health']","['completed workout', 'bought headphones', 'watched ai talk']"
u48,Utilisateur 48,47.0,"['music', 'health']","['bought headphones', 'watched ai talk']"
u49,Utilisateur 49,39.0,"['health', 'music']",['bought headphones']
u50,Utilisateur 50,13.0,"['health', 'fitness', 'music']",['watched ai talk']
